"","SUBJECT","ACTIVITY","MEAN_MEASUREMENT"
"1",1,"WALKING",3780.68421052632
"2",2,"WALKING",1441.67796610169
"3",3,"WALKING",3335.03448275862
"4",4,"WALKING",1463.68333333333
"5",5,"WALKING",3647.91071428571
"6",6,"WALKING",3901.56140350877
"7",7,"WALKING",3638.9298245614
"8",8,"WALKING",3662.02083333333
"9",9,"WALKING",1542.03846153846
"10",10,"WALKING",1514.30188679245
"11",11,"WALKING",3217.57627118644
"12",12,"WALKING",1470.44
"13",13,"WALKING",1460.9298245614
"14",14,"WALKING",3148.42372881356
"15",15,"WALKING",3620.75925925926
"16",16,"WALKING",3475.11764705882
"17",17,"WALKING",3333.5737704918
"18",18,"WALKING",1446.625
"19",19,"WALKING",3589.98076923077
"20",20,"WALKING",1379.49019607843
"21",21,"WALKING",3722.59615384615
"22",22,"WALKING",3957.52173913043
"23",23,"WALKING",3277.61016949153
"24",24,"WALKING",1471.08620689655
"25",25,"WALKING",3976.59459459459
"26",26,"WALKING",3573.35593220339
"27",27,"WALKING",3494.43859649123
"28",28,"WALKING",3782.74074074074
"29",29,"WALKING",3568.94339622642
"30",30,"WALKING",3435.10769230769
"31",1,"WALKING_UPSTAIRS",2713.01886792453
"32",2,"WALKING_UPSTAIRS",1109.0625
"33",3,"WALKING_UPSTAIRS",3558.37288135593
"34",4,"WALKING_UPSTAIRS",1363.90384615385
"35",5,"WALKING_UPSTAIRS",3625.57446808511
"36",6,"WALKING_UPSTAIRS",3243.07843137255
"37",7,"WALKING_UPSTAIRS",3498.58823529412
"38",8,"WALKING_UPSTAIRS",3170.21951219512
"39",9,"WALKING_UPSTAIRS",1154.0612244898
"40",10,"WALKING_UPSTAIRS",1209.34042553191
"41",11,"WALKING_UPSTAIRS",3529.12962962963
"42",12,"WALKING_UPSTAIRS",1442.26923076923
"43",13,"WALKING_UPSTAIRS",1321.49090909091
"44",14,"WALKING_UPSTAIRS",3520.64814814815
"45",15,"WALKING_UPSTAIRS",3416.47916666667
"46",16,"WALKING_UPSTAIRS",3613.13725490196
"47",17,"WALKING_UPSTAIRS",3220.22916666667
"48",18,"WALKING_UPSTAIRS",1466.3275862069
"49",19,"WALKING_UPSTAIRS",3601.925
"50",20,"WALKING_UPSTAIRS",1291.19607843137
"51",21,"WALKING_UPSTAIRS",3612.74468085106
"52",22,"WALKING_UPSTAIRS",3527.30952380952
"53",23,"WALKING_UPSTAIRS",2885.54901960784
"54",24,"WALKING_UPSTAIRS",1480.62711864407
"55",25,"WALKING_UPSTAIRS",3842.24615384615
"56",26,"WALKING_UPSTAIRS",3230
"57",27,"WALKING_UPSTAIRS",3084.47058823529
"58",28,"WALKING_UPSTAIRS",3204.39215686275
"59",29,"WALKING_UPSTAIRS",3395.85714285714
"60",30,"WALKING_UPSTAIRS",3654.87692307692
"61",1,"WALKING_DOWNSTAIRS",3823.02040816327
"62",2,"WALKING_DOWNSTAIRS",1554.31914893617
"63",3,"WALKING_DOWNSTAIRS",4127.28571428571
"64",4,"WALKING_DOWNSTAIRS",1471.97777777778
"65",5,"WALKING_DOWNSTAIRS",4214.31914893617
"66",6,"WALKING_DOWNSTAIRS",4002.5625
"67",7,"WALKING_DOWNSTAIRS",3783.1914893617
"68",8,"WALKING_DOWNSTAIRS",3762.31578947368
"69",9,"WALKING_DOWNSTAIRS",1738
"70",10,"WALKING_DOWNSTAIRS",1653.28947368421
"71",11,"WALKING_DOWNSTAIRS",3997.9347826087
"72",12,"WALKING_DOWNSTAIRS",1527.5
"73",13,"WALKING_DOWNSTAIRS",1702.70212765957
"74",14,"WALKING_DOWNSTAIRS",4214.06666666667
"75",15,"WALKING_DOWNSTAIRS",3584.83333333333
"76",16,"WALKING_DOWNSTAIRS",4405.6170212766
"77",17,"WALKING_DOWNSTAIRS",4118.17391304348
"78",18,"WALKING_DOWNSTAIRS",1689.12727272727
"79",19,"WALKING_DOWNSTAIRS",4074.92307692308
"80",20,"WALKING_DOWNSTAIRS",1681.6
"81",21,"WALKING_DOWNSTAIRS",3785.31111111111
"82",22,"WALKING_DOWNSTAIRS",3904.91666666667
"83",23,"WALKING_DOWNSTAIRS",4124.07407407407
"84",24,"WALKING_DOWNSTAIRS",1714.81818181818
"85",25,"WALKING_DOWNSTAIRS",4308.10344827586
"86",26,"WALKING_DOWNSTAIRS",3473.18
"87",27,"WALKING_DOWNSTAIRS",4320.81818181818
"88",28,"WALKING_DOWNSTAIRS",4049.95652173913
"89",29,"WALKING_DOWNSTAIRS",4269.91666666667
"90",30,"WALKING_DOWNSTAIRS",3915.17741935484
"91",1,"SITTING",3393.82978723404
"92",2,"SITTING",1390.34782608696
"93",3,"SITTING",3211.53846153846
"94",4,"SITTING",1474.08
"95",5,"SITTING",3657.36363636364
"96",6,"SITTING",3535.34545454545
"97",7,"SITTING",3922.47916666667
"98",8,"SITTING",3418.52173913043
"99",9,"SITTING",1452.24
"100",10,"SITTING",1470.98148148148
"101",11,"SITTING",3559.39622641509
"102",12,"SITTING",1499.58823529412
"103",13,"SITTING",1507.08163265306
"104",14,"SITTING",3909.72222222222
"105",15,"SITTING",3765.42372881356
"106",16,"SITTING",3790.14492753623
"107",17,"SITTING",3651.15625
"108",18,"SITTING",1522.57894736842
"109",19,"SITTING",3449.27397260274
"110",20,"SITTING",1422.0303030303
"111",21,"SITTING",3803.32941176471
